Alekhine Defense; Balogh Variation,white,692,2247,2225,40.8,24.3,35,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.Bc4']
Alekhine Defense; Brooklyn Variation,black,228,2145,2193,29.8,22.4,47.8,['1.e4'; 'Nf6'; '2.e5'; 'Ng8']
Alekhine Defense; Exchange Variation,white,6485,2244,2194,40.8,27.7,31.5,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.c4'; 'Nb6'; '5.exd6']
Alekhine Defense; Four Pawns Attack,white,881,2187,2130,39.7,23.2,37.1,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.c4'; 'Nb6'; '5.f4']
Alekhine Defense; Four Pawns Attack; Fianchetto Variation,black,259,2122,2178,37.8,21.2,40.9,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.c4'; 'Nb6'; '5.f4'; 'g6']
Alekhine Defense; Four Pawns Attack; Main Line,white,1207,2243,2190,41,25.9,33.1,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.c4'; 'Nb6'; '5.f4'; 'dxe5'; '6.fxe5'; 'Nc6'; '7.Be3']
Alekhine Defense; Four Pawns Attack; Trifunovic Variation,black,323,2231,2277,35.9,24.8,39.3,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.c4'; 'Nb6'; '5.f4'; 'Bf5']
Alekhine Defense; General,black,524,2032,2077,42.2,25,32.8,['1.e4'; 'Nf6']
Alekhine Defense; Hunt Variation; Lasker Simul Gambit,white,334,2205,2178,34.1,23.6,42.2,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.c4'; 'Nb6'; '4.c5'; 'Nd5'; '5.Nc3'; 'e6'; '6.Bc4']
Alekhine Defense; Maroczy Variation,white,931,2174,2174,36.6,25.7,37.7,['1.e4'; 'Nf6'; '2.d3']
Alekhine Defense; Modern Variation,white,501,2397,2336,43.5,31.7,24.8,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.Nf3']
Alekhine Defense; Modern Variation; Alburt Variation,black,2626,2250,2294,28.3,30.3,41.4,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.Nf3'; 'g6']
Alekhine Defense; Modern Variation; Alekhine Gambit,white,120,2097,2081,36.7,22.5,40.8,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.Nf3'; 'Bg4'; '5.c4'; 'Nb6'; '6.Be2']
Alekhine Defense; Modern Variation; Keres Variation,white,269,2442,2383,45.7,36.4,17.8,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.Nf3'; 'g6'; '5.Bc4'; 'Nb6'; '6.Bb3'; 'Bg7'; '7.a4']
Alekhine Defense; Modern Variation; Larsen Variation,black,1187,2243,2283,22.8,35.7,41.5,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.Nf3'; 'dxe5']
Alekhine Defense; Modern Variation; Larsen Variation; Miles Line,black,1481,2273,2306,25.9,35.9,38.2,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.Nf3'; 'dxe5'; '5.Nxe5'; 'c6']
Alekhine Defense; Modern Variation; Larsen-Haakert Variation,black,685,2171,2193,32.3,21.5,46.3,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.Nf3'; 'Nc6']
Alekhine Defense; Modern Variation; Main Line,black,5096,2209,2269,25.1,30.2,44.8,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.Nf3'; 'Bg4']
Alekhine Defense; Modern Variation; Panov Variation,white,183,2305,2269,44.3,22.4,33.3,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.Nf3'; 'Bg4'; '5.h3']
Alekhine Defense; Modern Variation; Schmid Variation,black,688,2300,2333,31.7,34.3,34,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6'; '4.Nf3'; 'Nb6']
Alekhine Defense; Normal Variation,black,981,2142,2173,34,26.7,39.3,['1.e4'; 'Nf6'; '2.e5'; 'Nd5']
Alekhine Defense; Normal Variation,black,1178,2128,2159,41.3,26.8,31.8,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.d4'; 'd6']
Alekhine Defense; Saemisch Attack,white,1452,2244,2212,37,29.9,33.1,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.Nc3']
Alekhine Defense; Scandinavian Variation,black,4898,2133,2153,39.4,28.4,32.2,['1.e4'; 'Nf6'; '2.Nc3'; 'd5']
Alekhine Defense; Spielmann Gambit,white,140,2260,2208,40,17.9,42.1,['1.e4'; 'Nf6'; '2.Nc3'; 'd5'; '3.e5'; 'Nfd7'; '4.e6']
Alekhine Defense; Two Pawn Attack,white,397,1981,1958,36,18.4,45.6,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.c4']
Alekhine Defense; Two Pawn Attack; Lasker Variation,white,964,2209,2202,32.9,30.3,36.8,['1.e4'; 'Nf6'; '2.e5'; 'Nd5'; '3.c4'; 'Nb6'; '4.c5']
Anderssen Opening; General,white,1308,2124,2126,35.7,25.6,38.7,['1.a3']
Benko Gambit; Accepted; Central Storming Variation,white,209,2265,2245,39.2,22.5,38.3,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.cxb5'; 'a6'; '5.bxa6'; 'g6'; '6.Nc3'; 'Bxa6'; '7.f4']
Benko Gambit; Accepted; Dlugy Variation,white,1526,2290,2271,42,25,33,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.cxb5'; 'a6'; '5.f3']
Benko Gambit; Accepted; Fianchetto Variation,white,2823,2288,2270,42.5,29.2,28.3,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.cxb5'; 'a6'; '5.bxa6'; 'Bxa6'; '6.Nc3'; 'g6'; '7.Nf3'; 'd6'; '8.g3'; 'Bg7'; '9.Bg2']
Benko Gambit; Accepted; Fully Accepted Variation,white,4326,2274,2260,37.9,30.3,31.7,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.cxb5'; 'a6'; '5.bxa6']
Benko Gambit; Accepted; King Walk Variation,white,1706,2314,2275,41.4,34.1,24.6,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.cxb5'; 'a6'; '5.bxa6'; 'Bxa6'; '6.Nc3'; 'd6'; '7.e4'; 'Bxf1'; '8.Kxf1'; 'g6'; '9.g3'; 'Bg7'; '10.Kg2'; 'O-O'; '11.Nf3']
Benko Gambit; Accepted; Modern Variation,white,1982,2340,2305,43.4,28,28.6,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.cxb5'; 'a6'; '5.e3']
Benko Gambit; Accepted; Pawn Return Variation,white,3610,2242,2226,39.6,26.3,34,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.cxb5'; 'a6'; '5.b6']
Benko Gambit; Accepted; Yugoslav with 7...Bxf1; Nge2,white,172,2228,2223,40.7,20.4,39,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.cxb5'; 'a6'; '5.bxa6'; 'Bxa6'; '6.Nc3'; 'd6'; '7.e4'; 'Bxf1'; '8.Kxf1'; 'g6'; '9.Nge2']
Benko Gambit; Accepted; Yugoslav without 7...Bxf1,white,338,2147,2136,36.7,28.7,34.6,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.cxb5'; 'a6'; '5.bxa6'; 'Bxa6'; '6.Nc3'; 'd6'; '7.e4']
Benko Gambit; Declined; Bishop Attack,white,160,2302,2249,40.6,29.4,30,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.Bg5']
Benko Gambit; Declined; Main Line,white,3039,2354,2319,45.2,27.8,27,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.Nf3']
Benko Gambit; Declined; Pseudo-Saemisch,white,204,2169,2182,41.2,17.2,41.7,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.f3']
Benko Gambit; Declined; Quiet Line,white,662,2311,2291,44.4,24.8,30.8,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.Nd2']
Benko Gambit; Declined; Sosonko Variation,white,688,2224,2214,35.6,26,38.4,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.a4']
Benko Gambit; General,black,1776,2118,2125,42.3,21.6,36,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5']
Benko Gambit; Zaitsev System,white,665,2069,2077,32.3,20.1,47.5,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.cxb5'; 'a6'; '5.Nc3']
Benko Gambit; Zaitsev Variation; Nescafe Frappe Attack,white,657,2231,2230,37.3,16.6,46.1,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'b5'; '4.cxb5'; 'a6'; '5.Nc3'; 'axb5'; '6.e4'; 'b4'; '7.Nb5']
Benoni Defense; Benoni Gambit Accepted,white,622,2102,2113,31,24.3,44.7,['1.d4'; 'c5'; '2.dxc5']
Benoni Defense; Benoni Gambit; Schlenker Defense,black,113,2237,2234,38.9,29.2,31.9,['1.d4'; 'c5'; '2.dxc5'; 'Na6']
Benoni Defense; Benoni-Indian Defense,black,1135,2190,2235,28.8,26,45.2,['1.d4'; 'c5'; '2.d5'; 'Nf6']
Benoni Defense; Benoni-Indian Defense; Kingside move order,white,4016,2349,2306,45.6,27.9,26.5,['1.d4'; 'c5'; '2.d5'; 'Nf6'; '3.Nf3']
Benoni Defense; Classical Variation; Argentine Counterattack,black,468,2309,2342,33.8,29.5,36.8,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.Nf3'; 'Bg7'; '8.Be2'; 'O-O'; '9.O-O'; 'a6'; '10.a4'; 'Bg4']
Benoni Defense; Classical Variation; Averbakh-Grivas Attack,white,570,2354,2299,47,21.9,31.1,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.Nf3'; 'Bg7'; '8.Bg5']
Benoni Defense; Classical Variation; Czerniak Defense,black,223,2216,2245,38.1,26.9,35,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.Nf3'; 'Bg7'; '8.Be2'; 'O-O'; '9.O-O'; 'Re8']
Benoni Defense; Classical Variation; Czerniak Defense,black,270,2355,2338,36.3,29.6,34.1,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.Nf3'; 'Bg7'; '8.Be2'; 'O-O'; '9.O-O'; 'Re8'; '10.Nd2'; 'Na6']
Benoni Defense; Classical Variation; Czerniak Defense,white,414,2446,2391,45.2,28.3,26.6,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.Nf3'; 'Bg7'; '8.Be2'; 'O-O'; '9.O-O'; 'Re8'; '10.Nd2'; 'Na6'; '11.f3']
Benoni Defense; Classical Variation; Czerniak Defense; Tal Line,white,903,2371,2342,42.8,25.9,31.3,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.Nf3'; 'Bg7'; '8.Be2'; 'O-O'; '9.O-O'; 'Re8'; '10.Nd2']
Benoni Defense; Classical Variation; Full line,white,193,2208,2164,43,22.8,34.2,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.Nf3'; 'Bg7'; '8.Be2'; 'O-O'; '9.O-O'; 'a6'; '10.a4']
Benoni Defense; Classical Variation; General,white,1833,2261,2229,35,25.2,39.8,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.Nf3']
Benoni Defense; Classical Variation; Main line,white,555,2296,2283,35.9,30.8,33.3,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.Nf3'; 'Bg7'; '8.Be2'; 'O-O'; '9.O-O']
Benoni Defense; Classical Variation; New York Variation,white,2454,2381,2319,43.9,32.5,23.6,['1.d4'; 'Nf6'; '2.c4'; 'c5'; '3.d5'; 'e6'; '4.Nc3'; 'exd5'; '5.cxd5'; 'd6'; '6.e4'; 'g6'; '7.Nf3'; 'Bg7'; '8.h3']
